group_type	segment_type	edges	element:count
Village	0_SegmentType_1A	0	House:1;SegmentGround_Village:1
Village	1_SegmentType_2A	0,1	House:2;SegmentGround_Village:1
Village	2_SegmentType_2B	0,2	House:3;SegmentGround_Village:1
Village	3_SegmentType_2C	0,3	House:3;SegmentGround_Village:1
Village	4_SegmentType_3A	0,1,2	House:3;SegmentGround_Village:1
Village	5_SegmentType_3B	0,1,3	House:4;SegmentGround_Village:1
Village	6_SegmentType_3C	0,1,4	House:4;SegmentGround_Village:1
Village	7_SegmentType_3D	0,2,4	House:4;SegmentGround_Village:1
Village	8_SegmentType_4A	0,1,2,3	House:5;SegmentGround_Village:1
Village	9_SegmentType_4B	0,1,2,4	House:5;SegmentGround_Village:1
Village	10_SegmentType_4C	0,1,3,4	House:5;SegmentGround_Village:1
Village	11_SegmentType_5A	0,1,2,3,4	House:7;SegmentGround_Village:1
Village	12_SegmentType_6A	0,1,2,3,4,5	House:7;SegmentGround_Village:1
Forest	0_SegmentType_1A	0	SegmentGround_Forest:1;Tree:4
Forest	1_SegmentType_2A	0,1	SegmentGround_Forest:1;Tree:10
Forest	2_SegmentType_2B	0,2	SegmentGround_Forest:1;Tree:15
Forest	3_SegmentType_2C	0,3	SegmentGround_Forest:1;Tree:17
Forest	4_SegmentType_3A	0,1,2	SegmentGround_Forest:1;Tree:17
Forest	5_SegmentType_3B	0,1,3	SegmentGround_Forest:1;Tree:20
Forest	6_SegmentType_3C	0,1,4	SegmentGround_Forest:1;Tree:20
Forest	7_SegmentType_3D	0,2,4	SegmentGround_Forest:1;Tree:20
Forest	8_SegmentType_4A	0,1,2,3	SegmentGround_Forest:1;Tree:21
Forest	9_SegmentType_4B	0,1,2,4	SegmentGround_Forest:1;Tree:24
Forest	10_SegmentType_4C	0,1,3,4	SegmentGround_Forest:1;Tree:24
Forest	11_SegmentType_5A	0,1,2,3,4	SegmentGround_Forest:1;Tree:29
Forest	12_SegmentType_6A	0,1,2,3,4,5	SegmentGround_Forest:1;Tree:33
Agriculture	0_SegmentType_1A	0	Field:1
Agriculture	1_SegmentType_2A	0,1	Field:1
Agriculture	2_SegmentType_2B	0,2	Field:2
Agriculture	3_SegmentType_2C	0,3	Field:2
Agriculture	4_SegmentType_3A	0,1,2	Field:1
Agriculture	5_SegmentType_3B	0,1,3	Field:2
Agriculture	6_SegmentType_3C	0,1,4	Field:2
Agriculture	7_SegmentType_3D	0,2,4	Field:3
Agriculture	8_SegmentType_4A	0,1,2,3	Field:2
Agriculture	9_SegmentType_4B	0,1,2,4	Field:2
Agriculture	10_SegmentType_4C	0,1,3,4	Field:3
Agriculture	11_SegmentType_5A	0,1,2,3,4	Field:2
Agriculture	12_SegmentType_6A	0,1,2,3,4,5	Field:3
Train	0_SegmentType_1A	0	Traintrack:1
Train	1_SegmentType_2A	0,1	Traintrack:1
Train	2_SegmentType_2B	0,2	Traintrack:1
Train	3_SegmentType_2C	0,3	Traintrack:1
Train	4_SegmentType_3A	0,1,2	Traintrack:1
Train	5_SegmentType_3B	0,1,3	Traintrack:1
Train	6_SegmentType_3C	0,1,4	Traintrack:1
Train	7_SegmentType_3D	0,2,4	Traintrack:1
Train	8_SegmentType_4A	0,1,2,3	Traintrack:1
Train	9_SegmentType_4B	0,1,2,4	Traintrack:1
Train	10_SegmentType_4C	0,1,3,4	Traintrack:1
Train	11_SegmentType_5A	0,1,2,3,4	Traintrack:1
Train	12_SegmentType_6A	0,1,2,3,4,5	Traintrack:1
Water	0_SegmentType_1A	0	River:1
Water	1_SegmentType_2A	0,1	River:1
Water	2_SegmentType_2B	0,2	River:1
Water	3_SegmentType_2C	0,3	River:1
Water	4_SegmentType_3A	0,1,2	River:1
Water	5_SegmentType_3B	0,1,3	River:1
Water	6_SegmentType_3C	0,1,4	River:1
Water	7_SegmentType_3D	0,2,4	River:1
Water	8_SegmentType_4A	0,1,2,3	River:1
Water	9_SegmentType_4B	0,1,2,4	River:1
Water	10_SegmentType_4C	0,1,3,4	River:1
Water	11_SegmentType_5A	0,1,2,3,4	River:1
Water	12_SegmentType_6A	0,1,2,3,4,5	River:1
Water	h1_SegmentType_2A_Hybrid	0,1	River:1
Water	h4_SegmentType_3A_Hybrid	0,1,2	River:1
Water	h8_SegmentType_4A_Hybrid	0,1,2,3	River:1
Water	h11_SegmentType_5A_Hybrid	0,1,2,3,4	River:1
